Company Name,City,State,Zip,NPI,CLIA,Tier,Rule Score,Engine Score,Priority,Lab Type,Signals,Target Roles
OMEGA MOLECULAR LABORATORIES LLC,ALPHARETTA,GA,300058407,1124890934,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
PATERNITY DNA CONSULTANTS,LAWRENCEVILLE,GA,300438538,1437967312,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: dna;Name signal (+): dna;Priority market: GA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"PCG MOLECULAR, LLC",ATLANTA,GA,303284277,1538625868,,A,82,3,High,"Pathology, Anatomic Pathology & Clinical Pathology",Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
PGX PARTNERS,BUFORD,GA,305188787,1457764565,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: pgx;Name signal (+): pgx;Priority market: GA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
AMERICAN MOLECULAR LABORATORIES INC,VERNON HILLS,IL,600611590,1982142402,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",BROADVIEW,IL,601553869,1134808033,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",MENTOR,OH,440604806,1316378789,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: OH,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ACIES MOLECULAR LAB LLC,NEW ALBANY,IN,47150,1518600758,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IN,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MOBILE DNA DIRECT LLC,INDIANAPOLIS,IN,462681799,1962292276,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: dna;Name signal (+): dna;Priority market: IN,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MOLECULAR LAB ASSOCIATES ILLINOIS,SPRINGFIELD,IL,627047433,1841999430,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
RESOLVE MOLECULAR DIAGNOSTICS LLC,METAIRIE,LA,700066626,1336814870,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: LA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"SPECIALTY DRUG TESTING, LLC",MONROE,LA,712032804,1639577091,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: drug testing;Name signal (+): specialty;Priority market: LA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
COSMOSID NGS LABORATORY SERVICES,ROCKVILLE,MD,208501496,1265097745,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: ngs;Name signal (+): ngs;Priority market: MD,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FPCA MOLECULAR LABS LLC,FREDERICK,MD,217038624,1245085430,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MD,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
INTEGRATED CELLULAR AND MOLECULAR DIAGNOSTICS LLC,GREENBELT,MD,207706323,1851707186,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: MD,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"PRECISION TOXICOLOGY, LLC",DARTMOUTH,MA,027473303,1043737505,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: toxicology;Name signal (+): precision;Priority market: MA,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ARES NGS LLC,HOLLAND,MI,494246518,1144876277,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: ngs;Name signal (+): ngs;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FIRST CHOICE DNA,SOUTHFIELD,MI,480752865,1295428274,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: dna;Name signal (+): dna;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MOLECULAR MEDICAL INC,DAVISBURG,MI,483501946,1588041511,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
PRECISION DNA SOLUTIONS,CLARKSTON,MI,483462270,1710271002,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: dna;Name signal (+): dna;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"PRECISION TOXICOLOGY, LLC",MARQUETTE,MI,498553196,1871907915,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: toxicology;Name signal (+): precision;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"PRIME TOXICOLOGY, LLC",SOUTHFIELD,MI,480341659,1104365626,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: toxicology;Name signal (+): prime;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SEQUENOM CENTER FOR MOLECULAR MEDICINE LLC,GRAND RAPIDS,MI,495033314,1528205028,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MI,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MOLECULAR AND DIAGNOSTIC TESTING LABS OF AMERICA,DALLAS,TX,752262017,1013673243,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CORE TOXICOLOGY LLC,CREVE COEUR,MO,631417129,1538527601,,A,82,3,High,Clinical Medical Laboratory,Tier A lab type: toxicology;Name signal (+): core;Priority market: MO,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
