org_name,city,state,zip,npi,clia,license_id,lab_type,engine_score,money_score,pain_score,fit_score,tier,rule_score,priority,signals
ATLANTA RAPID TESTING LLC,MARIETTA,GA,300678659,1467056333,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: rapid testing;Name signal (+): rapid;Priority market: GA
CHATTAHOOCHEE VALLEY DNA SERVICES,COLUMBUS,GA,319062944,1053115154,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: GA
DNA MED SERVICES LLC,LOCUST GROVE,GA,30248,1639020886,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: GA
"GEORGIA ESOTERIC & MOLECULAR LABS, LLC",AUGUSTA,GA,309120004,1487694261,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA
OMEGA MOLECULAR LABORATORIES LLC,ALPHARETTA,GA,300058407,1124890934,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA
PATERNITY DNA CONSULTANTS,LAWRENCEVILLE,GA,300438538,1437967312,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: GA
"PCG MOLECULAR, LLC",ATLANTA,GA,303284277,1538625868,,,"Pathology, Anatomic Pathology & Clinical Pathology",3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA
PGX PARTNERS,BUFORD,GA,305188787,1457764565,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: pgx;Name signal (+): pgx;Priority market: GA
AMERICAN MOLECULAR LABORATORIES INC,VERNON HILLS,IL,600611590,1982142402,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL
"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",BROADVIEW,IL,601553869,1134808033,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL
"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",MENTOR,OH,440604806,1316378789,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: OH
ACIES MOLECULAR LAB LLC,NEW ALBANY,IN,47150,1518600758,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IN
MOBILE DNA DIRECT LLC,INDIANAPOLIS,IN,462681799,1962292276,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: IN
MOLECULAR LAB ASSOCIATES ILLINOIS,SPRINGFIELD,IL,627047433,1841999430,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL
RESOLVE MOLECULAR DIAGNOSTICS LLC,METAIRIE,LA,700066626,1336814870,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: LA
"SPECIALTY DRUG TESTING, LLC",MONROE,LA,712032804,1639577091,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: drug testing;Name signal (+): specialty;Priority market: LA
COSMOSID NGS LABORATORY SERVICES,ROCKVILLE,MD,208501496,1265097745,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: ngs;Name signal (+): ngs;Priority market: MD
FPCA MOLECULAR LABS LLC,FREDERICK,MD,217038624,1245085430,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MD
INTEGRATED CELLULAR AND MOLECULAR DIAGNOSTICS LLC,GREENBELT,MD,207706323,1851707186,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: MD
"PRECISION TOXICOLOGY, LLC",DARTMOUTH,MA,027473303,1043737505,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): precision;Priority market: MA
ARES NGS LLC,HOLLAND,MI,494246518,1144876277,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: ngs;Name signal (+): ngs;Priority market: MI
FIRST CHOICE DNA,SOUTHFIELD,MI,480752865,1295428274,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: MI
MOLECULAR MEDICAL INC,DAVISBURG,MI,483501946,1588041511,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MI
PRECISION DNA SOLUTIONS,CLARKSTON,MI,483462270,1710271002,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: MI
"PRECISION TOXICOLOGY, LLC",MARQUETTE,MI,498553196,1871907915,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): precision;Priority market: MI
"PRIME TOXICOLOGY, LLC",SOUTHFIELD,MI,480341659,1104365626,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): prime;Priority market: MI
SEQUENOM CENTER FOR MOLECULAR MEDICINE LLC,GRAND RAPIDS,MI,495033314,1528205028,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MI
MOLECULAR AND DIAGNOSTIC TESTING LABS OF AMERICA,DALLAS,TX,752262017,1013673243,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX
CORE TOXICOLOGY LLC,CREVE COEUR,MO,631417129,1538527601,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): core;Priority market: MO
"DYNAMIC DNA LABORATORIES, LLC",SPRINGFIELD,MO,658044623,1659738631,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: MO
PRISM MOLECULAR LLC,BLAKELY,PA,184471365,1558067199,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: PA
THYROID SPECIALTY LABORATORY INC,FENTON,MO,630262837,1396175196,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: MO
THYROID SPECIALTY LABORATORY INC,FENTON,MO,630262837,1033239413,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: MO
THYROID SPECIALTY LABORATORY INC,SAINT LOUIS,MO,631253900,1184055386,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: MO
AMERICAN SPECIALTY LAB LLC,LAS VEGAS,NV,891171580,1790191633,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: NV
AMERICAN SPECIALTY LAB LLC,LAS VEGAS,NV,891171632,1063968675,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: NV
DNA ANALYTICAL LABORATORY LV LLC,LAS VEGAS,NV,891033826,1164019725,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: NV
A TOX LABORATORY LLC,CHERRY HILL,NJ,080032144,1689186231,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: tox lab;Name signal (+): tox;Priority market: NJ
"ADVANCED MOLECULAR DIAGNOSTICS, LLC",MONTVALE,NJ,076451223,1790023547,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: NJ
METRO RAPID TESTING LLC,CLIFTON,NJ,07013,1639800188,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: rapid testing;Name signal (+): rapid;Priority market: NJ
MODERN MOLECULAR DIAGNOSTICS CORP,FAIRFIELD,NJ,070041977,1508506361,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: NJ
MOLECULAR MEDICINE INC.,DENVILLE,NJ,078342158,1578638060,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: NJ
"NGS DIAGNOSTICS, LLC.",RAMSEY,NJ,074461367,1700254794,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: ngs;Name signal (+): ngs;Priority market: NJ
"APPLIED DNA CLINICAL LABS, LLC",STONY BROOK,NY,117903383,1366012742,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: NY
"METROPOLITAN SPECIALTY LABS, INC",STATEN ISLAND,NY,10304,1851699615,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: NY
DNA DIAGNOSTICS CENTER,FAIRFIELD,OH,450142296,1639404544,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: OH
ADVANCED GENOMICS INC,FEASTERVILLE TREVOSE,PA,190536100,1518690627,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: genomics;Name signal (+): advanced;Priority market: PA
HARMONY DNA & DRUG TESTING,BLUE BELL,PA,194222312,1386516201,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: drug testing;Name signal (+): dna;Priority market: PA
DNA TESTING ASSOCIATES,COLUMBIA,SC,292236523,1215899885,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna testing;Name signal (+): dna;Priority market: SC
"PRECISION GENETICS, INC.",GREENVILLE,SC,296153593,1346959970,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: genetics;Name signal (+): precision;Priority market: SC
PRECISION MOLECULAR SOLUTIONS LLC,CHARLESTON,SC,294258905,1154876886,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: SC
VERIFIED DNA SOLUTIONS,GREENVILLE,SC,296075732,1760277057,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: SC
EK-DNA LLC,NASHVILLE,TN,372192404,1437004686,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: TN
INSIGHT MOLECULAR DIAGNOSTICS INC.,FRANKLIN,TN,370648963,1609528892,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: TN
INSIGHT MOLECULAR DIAGNOSTICS INC.,NASHVILLE,TN,372172093,1427580109,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: TN
MOLECULAR PATHOLOGY LABORATORY NETWORK INC,MARYVILLE,TN,378045782,1053335729,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: TN
"REPRODUCTIVE SPECIALTY LABORATORY OF TENNESSEE, LLC",NASHVILLE,TN,372031513,1114148277,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: TN
RESOLVE MOLECULAR DIAGNOSTICS LLC,FRANKLIN,TN,370648987,1235666322,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: TN
"ADVANCED GENOMICS, LLC",HOUSTON,TX,770432317,1437544038,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: genomics;Name signal (+): advanced;Priority market: TX
ADVANCED TOXICOLOGY,DENTON,TX,762051211,1073898748,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): advanced;Priority market: TX
"AK MOLECULAR DIAGNOSTIC LABORATORY, LLC",WACO,TX,767123786,1215014493,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX
AMERICAN SPECIALTY LABS,HOUSTON,TX,770928242,1265174916,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: TX
ANALYTICAL TOXICOLOGY CORPORATION,SAN ANTONIO,TX,782293627,1447492509,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): analytical;Priority market: TX
"APEX MOLECULAR DIAGNOSTICS, LLC",ARLINGTON,TX,760066286,1942013248,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: TX
"ARTEMIS DNA LBX TX, LLC",HOUSTON,TX,77041,1952049116,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: TX
ARTEMIS DNA TX LLC,HOUSTON,TX,770544632,1699330415,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: TX
"CYTO SPECIALTY LAB, INC.",SAN ANTONIO,TX,782176234,1679508204,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: TX
DNA REFERENCE LAB,SAN ANTONIO,TX,782382500,1629437033,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: TX
DRUWEL LLC DBA ACT DNA DRUG AND ALCOHOL TESTING,HOUSTON,TX,770213700,1689047797,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: TX
EMERALD MOLECULAR LABORATORY LLC,AUSTIN,TX,787358200,1093578551,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX
ENDEAVOR DNA INC,EL PASO,TX,799124424,1093318586,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: TX
KONE MOLECULAR LABS LLC,FAIRFAX,VA,220306044,1396464616,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: VA
RADID RESULTS DNA LABORATORIES LLC,PORTSMOUTH,VA,237043425,1003624008,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: VA
MOLECULAR EPIDEMIOLOGY INC,LAKE FOREST PARK,WA,981557634,1124295654,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: WA
NATURAL MOLECULAR TESTING CORP.,SEATTLE,WA,981038602,1699918714,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: WA
NATURAL MOLECULAR TESTING CORPORATION,RENTON,WA,98057,1295057230,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: WA
TITAN MOLECULAR LABORATORIES LLC,SEATTLE,WA,981991565,1750768834,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: WA
BEECHTREE MOLECULAR LAB LLC,DRAPER,UT,840208402,1982202453,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
CAR GENETICS & MOLECULAR DIAGNOSTICS LAB,HENSLEY,AR,720659169,1841079670,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular
"SIGMA MOLECULAR DIAGNOSTICS, LLC",LITTLE ROCK,AR,722048040,1154662880,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular
SPECIALTY LABS PLLC,EAGLE,ID,83616,1114227246,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: specialty lab;Name signal (+): specialty
"X-GENE MOLECULAR LABORATORIES, INC",LOUISVILLE,KY,402416159,1497223473,,,"Pathology, Molecular Genetic Pathology",3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
MOLECULAR LAB ASSOCIATES LLC,TOPEKA,KS,666042603,1659035459,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
EUROFINS CLINICAL MOLECULAR TESTING SERVICES LLC,LOUISVILLE,KY,402996388,1861975062,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
MOLECULAR DIAGNOSTICS LABORATORIES INC,COVINGTON,KY,410112312,1649506205,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular
MOLECULAR DIAGNOSTICS LABORATORIES INC,COVINGTON,KY,410112353,1679698633,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular
MOLECULAR PATHOLOGY SERVICES OF THE HENRY VOGT CANCER RESEARCH INST,LOUISVILLE,KY,402023229,1871593293,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
"D&G PRECISION DRUG TESTING, LLC",JACKSON,MS,392062716,1316837594,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: drug testing;Name signal (+): precision
MOLECULAR AND DIAGNOSTIC TESTING LABS OF AMERICA,TUPELO,MS,388016401,1023622305,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
PRECISION GENOMICS LLC,OLIVE BRANCH,MS,386547906,1407718430,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: genomics;Name signal (+): precision
QUICK TOX LAB LLC,OKLAHOMA CITY,OK,731325107,1164257499,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: tox lab;Name signal (+): tox
"ADVANCED TOXICOLOGY,LLC",WEST LINN,OR,970684657,1407236177,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: toxicology;Name signal (+): advanced
MOLECULAR VISION LABORATORY,HILLSBORO,OR,970066977,1750739041,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
"MOLECULAR MS DIAGNOSTICS, LLC",CRANSTON,RI,029202858,1841503067,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
BT MOLECULAR LLC,DRAPER,UT,840209581,1932867371,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular;Name signal (+): molecular
NATIONAL MOLECULAR DIAGNOSTICS,PLEASANT GROVE,UT,840626731,1154039436,,,Clinical Medical Laboratory,3,0,0,3,A,72,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular
AMERICAN DRUG TESTING LAB LLC,SCOTTSBORO,AL,357684219,1497197321,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: drug testing;Priority market: AL
AMERICAN FORENSIC TOXICOLOGY SERVICES LLC,HUNTINGTON,NY,117433912,1417283623,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: NY
"APPLIED GENOMICS, INC.",HUNTSVILLE,AL,358062911,1891928289,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genomics;Priority market: AL
"KAILOS GENETICS, LLC",HUNTSVILLE,AL,358062908,1730482720,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genetics;Priority market: AL
"REGIONAL TOXICOLOGY SERVICES, LLC",TACOMA,WA,984212205,1821092297,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: WA
FIRST BIO GENETICS LLC,MESA,AZ,852103088,1073398723,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genetics;Priority market: AZ
INVITRO GENETICS ARIZONA,TEMPE,AZ,85281,1578085551,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genetics;Priority market: AZ
"LIFETIME GENOMICS, LLC",TEMPE,AZ,852815141,1396200705,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genomics;Priority market: AZ
PHOENIX TOXICOLOGY & LAB SERVICES,PHOENIX,AZ,850294726,1265789416,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: AZ
ROSETTA GENOMICS INC,TUCSON,AZ,857507409,1033566146,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genomics;Priority market: AZ
"SOUTH JERSEY TOXICOLOGY, LLC",VOORHEES,NJ,080433520,1568950194,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: NJ
"ADVANTAGE TOXICOLOGY MANAGEMENT, LLC",STATELINE,NV,894499804,1225390990,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: NV
ALLIANCE TOXICOLOGY HAWAII LLC,LAGUNA BEACH,CA,926511254,1083971774,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: CA
ALLIANCE TOXICOLOGY LLC,SANTA ANA,CA,927053914,1164759650,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: CA
ALPHA GENETICS LLC,MONTEBELLO,CA,906403951,1831975317,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genetics;Priority market: CA
AMBRY GENETICS CORPORATION,ALISO VIEJO,CA,926561423,1861568784,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genetics;Priority market: CA
"AMERICAN TOXICOLOGY MANAGEMENT, LLC",SIMI VALLEY,CA,930653077,1104266840,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: CA
ARBELOS GENOMICS INC,CHINO,CA,917101404,1285307561,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genomics;Priority market: CA
"ARIZONA TOXICOLOGY MANAGEMENT, LLC",SIMI VALLEY,CA,930650914,1982944260,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: CA
BREAKTHROUGH GENOMICS INC,IRVINE,CA,926182361,1427658848,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: genomics;Priority market: CA
CALIFORNIA TOXICOLOGY SERVICES,SAN DIEGO,CA,92127,1437486065,,,Clinical Medical Laboratory,3,0,0,3,A,70,High,Tier A lab type: toxicology;Priority market: CA
