Heat Score,Lead Score,Tier,Priority,Org Name,Taxonomy / Type,NPI,City,State,ZIP,Phone,Known Contact,Known Contact Title,Known Contact LinkedIn,Backup Person,Backup Person Title,Backup Person LinkedIn,Employee LinkedIn 1,Employee LinkedIn 2,Employee LinkedIn 3,Company LinkedIn,Company People Search,Notes,Tags
122,82,A,High,AMERICAN SPECIALTY LAB LLC,Clinical Medical Laboratory,1063968675,LAS VEGAS,NV,891171632,,,,,,,,,,,,https://www.bing.com/search?q=%22AMERICAN%20SPECIALTY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: NV,tier-A;lab;rule-intercept
122,82,A,High,"AMERICAN SPECIALTY LABORATORY , INC",Clinical Medical Laboratory,1316200504,CHATSWORTH,CA,913114416,,,,,,,,,,,,https://www.bing.com/search?q=%22AMERICAN%20SPECIALTY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: CA,tier-A;lab;rule-intercept
122,82,A,High,AMERICAN SPECIALTY LABS,Clinical Medical Laboratory,1265174916,HOUSTON,TX,770928242,,,,,,,,,,,,https://www.bing.com/search?q=%22AMERICAN%20SPECIALTY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,ANALYTICAL TOXICOLOGY CORPORATION,Clinical Medical Laboratory,1447492509,SAN ANTONIO,TX,782293627,,,,,,,,,,,,https://www.bing.com/search?q=%22ANALYTICAL%20TOXICOLOGY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: toxicology;Name signal (+): analytical;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,"APEX MOLECULAR DIAGNOSTICS, LLC",Clinical Medical Laboratory,1942013248,ARLINGTON,TX,760066286,,,,,,,,,,,,https://www.bing.com/search?q=%22APEX%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,APMG MOLECULAR DIAGNOSTICS,Clinical Medical Laboratory,1720266174,LA MESA,CA,919423020,,,,,,,,,,,,https://www.bing.com/search?q=%22APMG%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: CA,tier-A;lab;rule-intercept
122,82,A,High,"APPLIED DNA CLINICAL LABS, LLC",Clinical Medical Laboratory,1366012742,STONY BROOK,NY,117903383,,,,,,,,,,,,https://www.bing.com/search?q=%22APPLIED%20DNA%20CLINICAL%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: NY,tier-A;lab;rule-intercept
122,82,A,High,ARES NGS LLC,Clinical Medical Laboratory,1144876277,HOLLAND,MI,494246518,,,,,,,,,,,,https://www.bing.com/search?q=%22ARES%20NGS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: ngs;Name signal (+): ngs;Priority market: MI,tier-A;lab;rule-intercept
122,82,A,High,"ARISTA MOLECULAR, INC.",Clinical Medical Laboratory,1114232006,CARLSBAD,CA,920111414,,,,,,,,,,,,https://www.bing.com/search?q=%22ARISTA%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: CA,tier-A;lab;rule-intercept
122,82,A,High,"ARTEMIS DNA CA, LLC",Clinical Medical Laboratory,1639768641,IRVINE,CA,926184615,,,,,,,,,,,,https://www.bing.com/search?q=%22ARTEMIS%20DNA%20CA%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: CA,tier-A;lab;rule-intercept
122,82,A,High,"ARTEMIS DNA LBX TX, LLC",Clinical Medical Laboratory,1952049116,HOUSTON,TX,77041,,,,,,,,,,,,https://www.bing.com/search?q=%22ARTEMIS%20DNA%20LBX%20TX%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,ARTEMIS DNA TX LLC,Clinical Medical Laboratory,1699330415,HOUSTON,TX,770544632,,,,,,,,,,,,https://www.bing.com/search?q=%22ARTEMIS%20DNA%20TX%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,ATLANTA RAPID TESTING LLC,Clinical Medical Laboratory,1467056333,MARIETTA,GA,300678659,,,,,,,,,,,,https://www.bing.com/search?q=%22ATLANTA%20RAPID%20TESTING%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: rapid testing;Name signal (+): rapid;Priority market: GA,tier-A;lab;rule-intercept
122,82,A,High,CALIFORNIA MOLECULAR REFERENCE LABORATORIES,Clinical Medical Laboratory,1568698512,LAGUNA HILLS,CA,926533650,,,,,,,,,,,,https://www.bing.com/search?q=%22CALIFORNIA%20MOLECULAR%20REFERENCE%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: CA,tier-A;lab;rule-intercept
122,82,A,High,CARIS MOLECULAR PATHOLOGY,"Pathology, Anatomic Pathology & Clinical Pathology",1548539661,PHOENIX,AZ,85040,,,,,,,,,,,,https://www.bing.com/search?q=%22CARIS%20MOLECULAR%20PATHOLOGY%22%20site%3Alinkedin.com/company%20people%20employees,"Tier A | RuleScore 82 | Lab Type: Pathology, Anatomic Pathology & Clinical Pathology | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: AZ",tier-A;lab;rule-intercept
122,82,A,High,"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",Clinical Medical Laboratory,1316378789,MENTOR,OH,440604806,,,,,,,,,,,,https://www.bing.com/search?q=%22CENTER%20FOR%20MOLECULAR%20CANCER%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: OH,tier-A;lab;rule-intercept
122,82,A,High,"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",Clinical Medical Laboratory,1134808033,BROADVIEW,IL,601553869,,,,,,,,,,,,https://www.bing.com/search?q=%22CENTER%20FOR%20MOLECULAR%20CANCER%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL,tier-A;lab;rule-intercept
122,82,A,High,CHATTAHOOCHEE VALLEY DNA SERVICES,Clinical Medical Laboratory,1053115154,COLUMBUS,GA,319062944,,,,,,,,,,,,https://www.bing.com/search?q=%22CHATTAHOOCHEE%20VALLEY%20DNA%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: GA,tier-A;lab;rule-intercept
122,82,A,High,CORDELL LABS LLC DBA SPECIALTY LABORATORIES,laboratory,1801738364,EL CAJON,CA,920200911,(619) 708-3999,DAVID BARKA,Owner,,,,,,,,,https://www.bing.com/search?q=%22CORDELL%20LABS%20LLC%20DBA%20SPECIALTY%22%20site%3Alinkedin.com/company%20people%20employees,"Tier A | RuleScore 82 | Lab Type: Spec/Tech, Pathology, Laboratory Management | Signals: Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: CA",tier-A;lab;rule-intercept
122,82,A,High,CORE TOXICOLOGY LLC,Clinical Medical Laboratory,1538527601,CREVE COEUR,MO,631417129,,,,,,,,,,,,https://www.bing.com/search?q=%22CORE%20TOXICOLOGY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: toxicology;Name signal (+): core;Priority market: MO,tier-A;lab;rule-intercept
122,82,A,High,COSMOSID NGS LABORATORY SERVICES,Clinical Medical Laboratory,1265097745,ROCKVILLE,MD,208501496,,,,,,,,,,,,https://www.bing.com/search?q=%22COSMOSID%20NGS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: ngs;Name signal (+): ngs;Priority market: MD,tier-A;lab;rule-intercept
122,82,A,High,"CYTO SPECIALTY LAB, INC.",Clinical Medical Laboratory,1679508204,SAN ANTONIO,TX,782176234,,,,,,,,,,,,https://www.bing.com/search?q=%22CYTO%20SPECIALTY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,DNA ANALYTICAL LABORATORY LV LLC,Clinical Medical Laboratory,1164019725,LAS VEGAS,NV,891033826,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20ANALYTICAL%20LABORATORY%20LV%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: NV,tier-A;lab;rule-intercept
122,82,A,High,DNA DIAGNOSTICS CENTER,Clinical Medical Laboratory,1639404544,FAIRFIELD,OH,450142296,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20DIAGNOSTICS%20CENTER%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: OH,tier-A;lab;rule-intercept
122,82,A,High,"DNA GENETICS LAB, LLC",Clinical Medical Laboratory,1528401544,NEW HAVEN,CT,065113107,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20GENETICS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: genetics;Name signal (+): dna;Priority market: CT,tier-A;lab;rule-intercept
122,82,A,High,DNA MED SERVICES LLC,Clinical Medical Laboratory,1639020886,LOCUST GROVE,GA,30248,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20MED%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: GA,tier-A;lab;rule-intercept
122,82,A,High,DNA MED TUNING,Clinical Medical Laboratory,1174179972,HARTFORD,CT,061062515,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20MED%20TUNING%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: CT,tier-A;lab;rule-intercept
122,82,A,High,DNA MOLECULAR SCIENCES LLC,Clinical Medical Laboratory,1154051977,IRVINE,CA,926145563,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20MOLECULAR%20SCIENCES%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: CA,tier-A;lab;rule-intercept
122,82,A,High,DNA REFERENCE LAB,Clinical Medical Laboratory,1629437033,SAN ANTONIO,TX,782382500,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20REFERENCE%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,DNA TESTING ASSOCIATES,Clinical Medical Laboratory,1215899885,COLUMBIA,SC,292236523,,,,,,,,,,,,https://www.bing.com/search?q=%22DNA%20TESTING%20ASSOCIATES%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna testing;Name signal (+): dna;Priority market: SC,tier-A;lab;rule-intercept
122,82,A,High,DRUWEL LLC DBA ACT DNA DRUG AND ALCOHOL TESTING,Clinical Medical Laboratory,1689047797,HOUSTON,TX,770213700,,,,,,,,,,,,https://www.bing.com/search?q=%22DRUWEL%20LLC%20DBA%20ACT%20DNA%20DRUG%20AND%20ALCOHOL%20TESTING%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,"DYNAMIC DNA LABORATORIES, LLC",Clinical Medical Laboratory,1659738631,SPRINGFIELD,MO,658044623,,,,,,,,,,,,https://www.bing.com/search?q=%22DYNAMIC%20DNA%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: MO,tier-A;lab;rule-intercept
122,82,A,High,EK-DNA LLC,Clinical Medical Laboratory,1437004686,NASHVILLE,TN,372192404,,,,,,,,,,,,https://www.bing.com/search?q=%22EK-DNA%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: TN,tier-A;lab;rule-intercept
122,82,A,High,EMERALD MOLECULAR LABORATORY LLC,Clinical Medical Laboratory,1093578551,AUSTIN,TX,787358200,,,,,,,,,,,,https://www.bing.com/search?q=%22EMERALD%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,ENDEAVOR DNA INC,Clinical Medical Laboratory,1093318586,EL PASO,TX,799124424,,,,,MUNIZA AHMED,Clinical Medical Laboratory,https://www.linkedin.com/in/muniza-a/,,,,,https://www.bing.com/search?q=%22ENDEAVOR%20DNA%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,FIRST CHOICE DNA,Clinical Medical Laboratory,1295428274,SOUTHFIELD,MI,480752865,,,,,,,,,,,,https://www.bing.com/search?q=%22FIRST%20CHOICE%20DNA%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: dna;Name signal (+): dna;Priority market: MI,tier-A;lab;rule-intercept
122,82,A,High,FPCA MOLECULAR LABS LLC,Clinical Medical Laboratory,1245085430,FREDERICK,MD,217038624,,,,,,,,,,,,https://www.bing.com/search?q=%22FPCA%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: MD,tier-A;lab;rule-intercept
122,82,A,High,"GEORGIA ESOTERIC & MOLECULAR LABS, LLC",Clinical Medical Laboratory,1487694261,AUGUSTA,GA,309120004,,,,,,,,,,,,https://www.bing.com/search?q=%22GEORGIA%20ESOTERIC%20%26%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA,tier-A;lab;rule-intercept
122,82,A,High,"GULF COAST MOLECULAR LABORATORIES, LLC",Clinical Medical Laboratory,1780160770,SPANISH FORT,AL,36527,,,,,,,,,,,,https://www.bing.com/search?q=%22GULF%20COAST%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: AL,tier-A;lab;rule-intercept
122,82,A,High,HARMONY DNA & DRUG TESTING,Clinical Medical Laboratory,1386516201,BLUE BELL,PA,194222312,,,,,,,,,,,,https://www.bing.com/search?q=%22HARMONY%20DNA%20%26%20DRUG%20TESTING%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: drug testing;Name signal (+): dna;Priority market: PA,tier-A;lab;rule-intercept
