Company Name,City,State,Zip,NPI,CLIA,License ID,Money Score,Pain Score,Fit Score,Total Score,Target Roles
ECOSURE LABS LLC,ALTON,IL,620026101,1629940820,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EK ZINDAGI LLC,SKOKIE,IL,600762063,1740004878,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ELGIN LAB DIAGNOSTIC LLC,BENSENVILLE,IL,601063365,1790437366,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ELGIN WELL CHILD CONFERENCE,ELGIN,IL,601232800,1871709865,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ELITE DIAGNOSTICS LABORATORIES LLC,WOODRIDGE,IL,605171222,1013671502,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FIRST BIO LAB OF ILLINOIS LLC,ARLINGTON HEIGHTS,IL,600053923,1417720384,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FIZZA CARE SERVICES INC.,CHICAGO,IL,606455438,1104677863,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"FLEX EXPERIMENTAL, INC.",CHICAGO,IL,606186446,1164797106,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EMPOWERME DIAGNOSTICS LLC,FAIRVIEW HEIGHTS,IL,622081342,1316644784,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
END 2 END,MAYWOOD,IL,601533424,1932847431,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ENDEAVOR HEALTH MEDICAL GROUP,SKOKIE,IL,600771074,1730223009,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"ENVISION HEALTH LAB, LLC",O FALLON,IL,622693743,1558713313,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"EPIQ BILLING SOLUTIONS, LLC",CHICAGO,IL,606403118,1356139059,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ESPOIR LAB INC,CHICAGO,IL,606601201,1902534845,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"ESSENTIAL TESTING, LLC",COLLINSVILLE,IL,622346128,1316225956,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVAD LAB SERVICES LLC,NORTH CHICAGO,IL,600643123,1528611274,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVEN CARE LABS INC,OAK LAWN,IL,604537001,1215656590,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVEREADY MULTIPLE SERVICES INC,MATTESON,IL,604431903,1164187910,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVERGREEN PUBLIC ADJUSTERS SERVICES LLC,CHICAGO,IL,606161829,1033866934,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVERGREEN SHERIDAN LABORATORIES LTD,EVERGREEN PARK,IL,60805,1972513661,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVOLVE NURSE CONSULTANT SERVICES,BOLINGBROOK,IL,604905575,1598416125,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,FAIRMONT,WV,265544719,1386629392,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,RONCEVERTE,WV,249708016,1255774543,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,ELKINS,WV,262414610,1235449760,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MADISON MEDICAL PLLC,MADISON,WV,251301223,1891977765,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"EXCELLENT SLEEP STUDY CENTER, LLC",ORLAND PARK,IL,604622637,1730475310,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EXPRESS CARE ENTERPRISES,BOLINGBROOK,IL,604401322,1437800307,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EXPRESS LAB SERVICES INC,SKOKIE,IL,600762063,1841968831,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EXPRESS MEDICAL LABS LLC,CHICAGO RIDGE,IL,604152667,1710587852,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EXPRESS WELLNESS INC,OLYMPIA FIELDS,IL,604611059,1205594397,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EYE SEE OPTICAL INC.,HOFFMAN ESTATES,IL,60169,1316365620,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FA 1ST SOLUTIONS,CHICAGO,IL,606593443,1265020051,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FAIS REFERENCE LABS INC,BOURBONNAIS,IL,609142325,1588484083,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FAITH HOME CARE SERVICES,WAUKEGAN,IL,600855153,1265610299,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FAMILY & MEDICINE LABORATORY LLC,CHICAGO,IL,606363449,1437968344,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FAST LAB CORP,MORTON GROVE,IL,600533132,1740955640,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FEMITE DIAGNOSTIC LLC,HANOVER PARK,IL,601333658,1063169886,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GENE MATRIX LLC,CHICAGO,IL,606071128,1225729312,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GENERAL LAB PROFESSIONALS, INC.",WESTCHESTER,IL,60154,1477001527,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GENERAL LAB, INC",WESTCHESTER,IL,601545709,1871987008,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GENLAB CORPORATION,ARLINGTON HEIGHTS,IL,600053923,1659053031,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GENLAB CORPORATION,BLOOMINGDALE,IL,601081219,1316105067,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,CHARLESTON,WV,253872438,1891770806,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,DUNBAR,WV,250643120,1871248211,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,PRINCETON,WV,247402431,1003237819,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,HURRICANE,WV,255269705,1336892827,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,SOUTH CHARLESTON,WV,253091309,1003290644,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,BLUEFIELD,WV,247013942,1861812315,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LABORATORY CORPORATION OF AMERICA HOLDINGS,BRIDGEPORT,WV,263301748,1518942531,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GLOBAL CARE SERVICES INC,CHICAGO,IL,606464523,1194599555,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GLOBAL HEALTH DIAGNOSTICS INC,CHICAGO,IL,606593317,1003683533,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GLOBAL IVF, INC",ORLAND PARK,IL,604622638,1063772200,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GLOBAL LAB INC,DES PLAINES,IL,600164711,1972800118,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GO DIAGNOSTICS INC,SKOKIE,IL,600773377,1033687462,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GO LABS,ZION,IL,600999204,1821376294,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"FORT CARE, LLC",LANSING,IL,604383200,1922836170,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FREE COVID CARE,CHICAGO,IL,606455319,1437816535,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"FREMONT FERTILITY PARTNERS, PLLC",CHICAGO,IL,606061260,1437981883,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"FROM PAIN TO WELLNESS, LLC",OAKBROOK TERRACE,IL,601814820,1962979567,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FZ MEDICAL GROUP INC,DES PLAINES,IL,600182206,1851008296,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
G & F CONSULTING INC,DES PLAINES,IL,600166313,1437804531,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GABACHIEF MEDICAL INC,NORRIDGE,IL,607063129,1417380106,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GAMMA LABS INC.,CHICAGO,IL,60630,1063182434,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GARLAND LEGACY LLC,OAK PARK,IL,603022823,1417618380,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HANNAN LAB INC,NILES,IL,607144535,1578223632,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HANSEN LAB SERVICE INC,BOLINGBROOK,IL,604402504,1205259231,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"HARMONE LABS, LLC",DECATUR,IL,625213951,1538781174,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HASCOL LLC,AUSTIN,TX,787314257,1295685147,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALING PRO LAB LLC,ARLINGTON HEIGHTS,IL,600044366,1053896928,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH CHEK SYSTEMS USA,WATSEKA,IL,609707562,1710164348,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GENOMICMD, INC.",CHICAGO,IL,606062806,1013750710,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GENOSCREEN LAB LLC,CHICAGO,IL,606377505,1306652037,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GENTLE HANDS LAB SERVICES,OAKBROOK TERRACE,IL,601814450,1366262974,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GI PATHOLOGY LLC,MOLINE,IL,612656138,1710127048,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GI SOLUTIONS OF ILLINOIS, LLC",CHICAGO,IL,606313745,1790124204,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GIFT OF HOPE ORGAN & TISSUE DONOR NETWORK,ITASCA,IL,601432076,1922245968,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GIST ENTITIES, LLC",ORLAND PARK,IL,604679440,1225659204,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GLASS CLINICAL LABS INC.,HOMEWOOD,IL,604302867,1952431538,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GLEN RIDGE IMAGING LTD,MOKENA,IL,604489321,1538254651,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS LLC,ALTON,IL,620020340,1093794315,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS LLC,BELLEVILLE,IL,622201915,1659351336,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLONOIS LLC,BELLEVUE,IL,622261998,1740260421,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLONOIS LLC,BELLEVILLE,IL,622201952,1669451977,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTHCARE LAB SERVICES LLC,SCHAUMBURG,IL,601734822,1689432536,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTHCARE MANAGEMENT CONSULTING AND STAFFING OF CHICAGO,CHICAGO,IL,606594019,1801523634,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GOAT MASS SWABS INC,AURORA,IL,605064025,1174266787,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GOLDEN LABS LLC,CHICAGO,IL,606464539,1053054858,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GOLDEN QUALITY MEDICAL SERVICE,CHICAGO,IL,606174460,1710234919,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GOLDSTAR DIAGNOSTICS,LIVERMORE,CA,945504111,1508510777,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GOTO LAB EXPRESS TEXAS LLC,IRVING,TX,750382914,1558869438,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GP DIAGNOSTICS,MIAMI,FL,331375040,1588440960,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GRACE LAB SERVICES INC,CHICAGO,IL,606313845,1912472358,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GRANITE CITY PHYSICIANS CORP,GRANITE CITY,IL,620404641,1508983214,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GREAT LAB SERVICES INC,CHICAGO,IL,606454363,1154074482,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HALLMAN CARE LLC,DOWNERS GROVE,IL,605151032,1497496756,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HERITAGE LAB EXPRESS INC,CRETE,IL,604171211,1245777051,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HERITAGE LABORATORY INC,CRETE,IL,604173601,1013411453,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HERITAGE LABORATORY INC,MERRILLVILLE,IN,464105529,1457996522,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEXAGON LAB INC,BARTLETT,IL,601038604,1164208930,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HIGH CARE LABS INC,CHICAGO,IL,606464422,1952052110,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HKN LABORATORIES LLC,OAK PARK,IL,60302,1922997220,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH CHEK-HEALTH COACHING INC,WATSEKA,IL,609707562,1932518636,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH CURE DIAGNOSTICS LLC,OAK LAWN,IL,604537000,1760268171,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH FITNESS CORPORATION,LAKE FOREST,IL,600454809,1245781293,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH HAVEN MEDICAL INC,CHICAGO,IL,606593558,1982575015,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS INC,GLEN CARBON,IL,620341904,1396725974,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS INC,BELLEVILLE,IL,622268305,1255311924,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS LLC,COLLINSVILLE,IL,622346114,1801885504,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS LLC,MILLSTADT,IL,622602210,1811976145,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTH VENTURES OF SOUTHERN ILLINOIS LLC,O FALLON,IL,622691953,1831179415,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HSM CENTERS LLC,SHILOH,IL,622692182,1629730221,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HUMANS AT HELP FOUNDATION,CHICAGO,IL,606455356,1376215533,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HWY CLINICAL LABORATORY SERVICES,ARLINGTON HEIGHTS,IL,600055222,1720206253,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HYBRID SLEEP LLC,NORTHBROOK,IL,600626724,1902194160,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HYDRUS INC,CHICAGO,IL,606464312,1497414999,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
I GOT WHAT YOU NEED,CHICAGO,IL,606374639,1114650900,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
I TEST U INC,CHICAGO,IL,60613,1780339812,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ICON EVENTS CO,CHICAGO,IL,606593324,1538825708,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"IDENTI-CHECK, INC",SPRINGFIELD,IL,627011313,1235613712,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
IDRIVIO LLC DBA TEAMFICIENT,CHICAGO,IL,606476531,1154082071,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTHNBEAUTY.LIFE INC,CHICAGO,IL,606455253,1114685104,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEALTHPOINT DIAGNOSTIX INC,LINCOLNSHIRE,IL,600694452,1861725327,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEART CARE USA,CHICAGO,IL,606176220,1306031331,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HEARTLAND WOMEN'S HEALTHCARE LTD,SWANSEA,IL,622262966,1043852932,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HELPING HANDS ENTERPRISES LLC,CHICAGO,IL,608271808,1841950912,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"HEMATOGENIX LABORATORY SERVICES, LLC",TINLEY PARK,IL,604879229,1831373836,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ILLINOIS IVF LLC,DOWNERS GROVE,IL,605152869,1609431469,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
IMPACTLIFE,DAVENPORT,IA,528073481,1821069493,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
IMPALA EXPRESS CLINICAL LABORATORY SERVICE INC,CHICAGO,IL,606112213,1346530201,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
INAYA AND IMRAN LLC,MELROSE PARK,IL,601603620,1902559537,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"INSIGHT MEDICAL GENETICS, LLC",CHICAGO,IL,606114546,1831524438,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
INSITE LAB ADVISORS,CHICAGO,IL,606063728,1679850994,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
INTEGRATIVE DIAGNOSTICS,FRANKFORT,IL,604232047,1841961778,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
INTELLEGERE CLINICAL LAB LLC,CLARENDON HILLS,IL,605141026,1073259073,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ITXM CLINICAL SERVICES,GLENVIEW,IL,600252425,1306153416,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ITXM DIAGNOSTICS INC,ROSEMONT,IL,600185317,1174967228,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HOLY LAND LABS LLC,BURBANK,IL,604591901,1467107938,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HOME ACCESS HEALTH CORP,HOFFMAN ESTATES,IL,601952096,1477764181,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HOME ACCESS HEALTH CORPORATION,HOFFMAN ESTATES,IL,601697241,1306102678,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"HOME LAB, INC",CHICAGO,IL,606371012,1942497490,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HOPE DIAGNOSTIC AND WELLNESS CENTER LLC,HICKORY HILLS,IL,604572079,1497476683,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HSM CENTERS,SHILOH,IL,622692182,1790449197,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"K G A PHLEBOTOMIST, INC",PALOS HILLS,IL,604652314,1235566753,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
K LABORATORY LLC,HOMEWOOD,IL,604301146,1831842434,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
K&L HEALTH SOLUTIONS,STEGER,IL,604751071,1508504887,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
K52 LLC,PEORIA,IL,61614,1477205292,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
KADEZ INC,OAK LAWN,IL,604537000,1639827157,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
KATHI SOLUTIONS LLC,BYRON,IL,610108610,1871452664,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
KC MED LABRATORY,CHICAGO,IL,606493907,1346886058,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
KDH SERVICES,LAKE BLUFF,IL,600441777,1598193526,,,0,0,3,3,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
